Arman Bernal,BERNAL,Vice-Mayor of Kawit
Alvin Bunag,BUNAG,Vice-Mayor of Kawit
Delfin Genio,GENIO,Mayor of Magallanes
Jasmin Maligaya,MALIGAYA,Mayor of Magallanes
Renato Dimapilis,DIMAPILIS1,Vice-Mayor of Magallanes
Edwin Sisante,SISANTE,Vice-Mayor of Magallanes
Alfredo Bersabe,BERSABE,Mayor of Maragondon
Reynaldo Rillo,RILLO1,Mayor of Maragondon
Pinboy Angeles,ANGELES,Vice-Mayor of Maragondon
Bonn Rillo,RILLO2,Vice-Mayor of Maragondon
Eric Vida,VIDA,Mayor of Mendez
Loida Dimapilis,DIMAPILIS2,Vice-Mayor of Mendez
Francisco Mendoza,MENDOZA,Vice-Mayor of Mendez
Junio Dualan,DUALAN,Mayor of Naic
Rodrigo Castillo,CASTILLO2,Vice-Mayor of Naic
Roger Pangilinan,PANGILINAN,Vice-Mayor of Naic
Joy Unas,UNAS,Vice-Mayor of Naic
Dino Chua,CHUA2,Mayor of Noveleta
Dindo Santamaria,SANTAMARIA,Mayor of Noveleta
Dave Manalo,MANALO,Vice-Mayor of Noveleta
Dony Torres,TORRES2,Vice-Mayor of Noveleta
Renato Abutan,ABUTAN,Mayor of Rosario
Jose Voltaire Ricafrente,RICAFRENTE1,Mayor of Rosario
Jhing-Jhing Hernandez,HERNANDEZ,Vice-Mayor of Rosario
Jose Ricafrente,RICAFRENTE2,Vice-Mayor of Rosario
Gie Loyola,LOYOLA,Mayor of Silang
Omil Poblete,POBLETE,Mayor of Silang
Aidel Paul Belamide,BELAMIDE,Vice-Mayor of Silang
Ari Velazco,VELAZCO,Vice-Mayor of Silang
Agnes Tolentino,TOLENTINO2,Mayor of Tagaytay City
Mok Ambion,AMBION,Vice-Mayor of Tagaytay City
Gengen Arayata,ARAYATA1,Mayor of Tanza
Yuri Pacumio,PACUMIO,Mayor of Tanza
Marcus Ashley Arayata,ARAYATA2,Vice-Mayor of Tanza
Joel Diosana,DIOSANA,Vice-Mayor of Tanza
Alexis Dones,DONES,Vice-Mayor of Tanza
Lamberto Bambao,BAMBAO,Mayor of Ternate
Gomez Linayao,LINAYAO,Mayor of Ternate
Minio Lindo,LINDO,Mayor of Ternate
Romel Anit,ANIT,Vice-Mayor of Ternate
Salvador Gubio,GUBIO,Vice-Mayor of Ternate
Khalil Soberano,SOBERANO,Vice-Mayor of Ternate
Melan De Sagun,DESAGUN,Mayor of Trece Martires City
Romeo Montehermoso,MONTEHERMOSO,Mayor of Trece Martires City
Alex Pe?alba,PE?ALBA,Mayor of Trece Martires City
Tabok Dilag,DILAG,Vice-Mayor of Trece Martires City
Alex Lubigan,LUBIGAN,Vice-Mayor of Trece Martires City
